created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-08-30 16:51:53 +0200,67,59.24,1347,52.66,,980.22,0,25.47,
2018-08-30 16:51:59 +0200,68,58.22,1348,52.64,,980.18,0,25.46,
2018-08-30 16:52:05 +0200,69,59.66,1348,52.68,,980.18,3,25.47,
2018-08-30 16:52:12 +0200,70,60.30,1349,52.72,,980.20,0,25.47,
2018-08-30 16:52:18 +0200,71,61.00,1350,52.72,,980.20,3,25.46,
2018-08-30 16:52:24 +0200,72,61.62,1350,52.74,,980.18,0,25.46,
2018-08-30 16:52:31 +0200,73,61.99,1350,52.75,,980.20,0,25.44,
2018-08-30 16:52:37 +0200,74,63.24,1350,52.74,,980.20,0,25.46,
2018-08-30 16:52:44 +0200,75,63.48,1352,52.59,,980.20,0,25.43,
2018-08-30 16:52:50 +0200,76,64.55,1352,52.48,,980.22,3,25.43,
2018-08-30 16:52:56 +0200,77,65.19,1352,52.52,,980.24,0,25.40,
2018-08-30 16:53:03 +0200,78,65.30,1351,52.54,,980.20,0,25.43,
2018-08-30 16:53:09 +0200,79,66.32,1350,52.57,,980.20,0,25.44,
2018-08-30 16:53:15 +0200,80,66.79,1347,52.60,,980.20,0,25.44,
2018-08-30 16:53:22 +0200,81,67.38,1347,52.73,,980.20,0,25.44,
2018-08-30 16:53:29 +0200,82,68.20,1346,52.66,,980.20,0,25.41,
2018-08-30 16:53:36 +0200,83,67.27,1346,52.45,,980.20,0,25.43,
2018-08-30 16:53:42 +0200,84,67.87,1346,52.82,,980.20,0,25.41,
2018-08-30 16:53:48 +0200,85,68.87,1351,53.43,,980.20,3,25.40,
2018-08-30 16:53:55 +0200,86,69.49,1351,53.43,,980.18,0,25.44,
2018-08-30 16:54:01 +0200,87,69.26,1407,53.84,,980.18,3,25.49,
2018-08-30 16:54:07 +0200,88,69.95,1556,53.85,,980.24,0,25.44,
2018-08-30 16:54:14 +0200,89,70.48,1533,53.50,,980.22,0,25.43,
2018-08-30 16:54:20 +0200,90,71.61,1530,53.38,,980.20,0,25.46,
2018-08-30 16:54:27 +0200,91,72.04,1532,53.34,,980.18,0,25.49,
2018-08-30 16:54:33 +0200,92,72.54,1516,53.30,,980.18,0,25.47,
2018-08-30 16:54:39 +0200,93,72.72,1507,53.14,,980.14,0,25.46,
2018-08-30 16:54:46 +0200,94,73.61,1503,53.06,,980.18,0,25.46,
2018-08-30 16:54:52 +0200,95,73.74,1502,53.02,,980.18,0,25.50,
2018-08-30 16:54:58 +0200,96,74.00,1498,52.98,,980.18,0,25.50,
2018-08-30 16:55:08 +0200,97,74.65,1494,52.95,,980.18,0,25.50,
2018-08-30 16:55:14 +0200,98,71.31,1490,53.03,,980.14,0,25.51,
2018-08-30 16:55:20 +0200,99,73.68,1491,52.98,,980.16,0,25.53,
2018-08-30 16:55:27 +0200,100,74.65,1487,52.95,,980.18,0,25.53,
2018-08-30 16:55:33 +0200,101,75.66,1485,52.93,,980.16,0,25.54,
2018-08-30 16:55:39 +0200,102,75.73,1484,52.80,,980.16,0,25.57,
2018-08-30 16:55:46 +0200,103,76.55,1481,52.75,,980.14,0,25.61,
2018-08-30 16:55:52 +0200,104,76.97,1478,52.69,,980.12,0,25.61,
2018-08-30 16:55:59 +0200,105,76.97,1476,52.67,,980.12,0,25.63,
2018-08-30 16:56:05 +0200,106,77.61,1473,52.61,,980.16,0,25.66,
2018-08-30 16:56:14 +0200,107,77.89,1472,52.50,,980.12,0,25.66,
2018-08-30 16:56:21 +0200,108,74.13,1470,52.45,,980.12,0,25.73,
2018-08-30 16:56:27 +0200,109,76.55,1467,52.44,,980.12,0,25.74,
2018-08-30 16:56:33 +0200,110,78.18,1466,52.30,,980.18,0,25.77,
2018-08-30 16:56:40 +0200,111,78.62,1462,52.29,,980.14,0,25.81,
2018-08-30 16:56:46 +0200,112,79.21,1457,52.20,,980.14,0,25.84,
2018-08-30 16:56:56 +0200,113,79.51,1457,52.17,,980.16,0,25.85,
2018-08-30 16:57:05 +0200,114,75.19,1456,52.17,,980.14,0,25.89,
2018-08-30 16:57:11 +0200,115,74.06,1455,52.11,,980.14,0,25.92,
2018-08-30 18:54:45 +0200,116,0.00,846,46.04,,980.10,0,24.64,
2018-08-30 18:54:51 +0200,117,9.59,788,45.20,,980.10,0,24.64,
2018-08-30 18:55:15 +0200,118,0.00,0,0.00,,980.04,0,0.00,
2018-08-30 18:55:22 +0200,119,17.58,0,0.00,,980.04,0,0.00,
2018-08-30 18:55:28 +0200,120,26.13,0,0.00,,980.06,0,0.00,
2018-08-30 18:55:34 +0200,121,32.71,0,0.00,,980.08,3,0.00,
2018-08-30 18:55:41 +0200,122,37.27,0,0.00,,980.12,3,0.00,
2018-08-30 18:55:47 +0200,123,43.18,474,79.17,,980.10,3,26.83,
2018-08-30 18:56:01 +0200,124,0.00,875,47.66,,980.12,0,25.56,
2018-08-30 18:56:07 +0200,125,41.36,0,53.12,,980.12,0,25.46,
2018-08-30 18:56:14 +0200,126,47.08,0,55.18,,980.12,3,25.39,
2018-08-30 18:56:20 +0200,127,50.85,367,55.00,,980.14,3,25.39,
2018-08-30 18:56:26 +0200,128,54.25,691,56.07,,980.14,3,25.43,
2018-08-30 18:56:32 +0200,129,56.93,702,56.21,,980.12,3,25.46,
2018-08-30 18:56:39 +0200,130,59.12,710,56.15,,980.14,4,25.51,
2018-08-30 18:56:45 +0200,131,61.13,722,55.99,,980.14,3,25.53,
2018-08-30 18:56:51 +0200,132,62.72,725,55.83,,980.14,4,25.57,
2018-08-30 18:56:58 +0200,133,64.74,726,55.80,,980.14,3,25.57,
2018-08-30 18:57:04 +0200,134,65.86,730,55.74,,980.12,4,25.60,
2018-08-30 18:57:10 +0200,135,67.33,733,55.73,,980.14,3,25.63,
2018-08-30 18:57:17 +0200,136,68.53,736,55.69,,980.10,3,25.63,
2018-08-30 18:57:23 +0200,137,70.18,737,55.70,,980.12,3,25.67,
2018-08-30 18:57:29 +0200,138,70.83,737,55.64,,980.12,3,25.64,
2018-08-30 18:57:35 +0200,139,71.61,737,55.65,,980.10,3,25.67,
2018-08-30 18:57:42 +0200,140,72.98,737,55.70,,980.10,4,25.66,
2018-08-30 18:57:48 +0200,141,73.36,739,55.75,,980.10,3,25.67,
2018-08-30 18:57:55 +0200,142,74.39,738,55.77,,980.14,3,25.68,
2018-08-30 18:58:01 +0200,143,74.85,739,55.81,,980.12,3,25.68,
2018-08-30 18:58:08 +0200,144,75.59,739,55.91,,980.14,4,25.71,
2018-08-30 18:58:14 +0200,145,76.48,739,55.88,,980.12,3,25.67,
2018-08-30 18:58:21 +0200,146,76.97,739,55.96,,980.12,4,25.67,
2018-08-30 18:58:27 +0200,147,77.75,739,56.03,,980.10,0,25.68,
2018-08-30 18:58:34 +0200,148,78.62,740,56.10,,980.10,3,25.70,
2018-08-30 18:58:40 +0200,149,79.28,741,56.13,,980.12,3,25.70,
2018-08-30 18:58:47 +0200,150,79.73,741,56.18,,980.10,4,25.71,
2018-08-30 18:58:54 +0200,151,79.36,742,56.28,,980.10,3,25.70,
2018-08-30 18:59:00 +0200,152,80.65,743,56.30,,980.08,3,25.68,
2018-08-30 18:59:07 +0200,153,81.27,743,56.38,,980.08,3,25.71,
2018-08-30 18:59:13 +0200,154,82.14,743,56.45,,980.06,4,25.70,
2018-08-30 18:59:20 +0200,155,82.22,743,56.51,,980.10,3,25.68,
2018-08-30 18:59:26 +0200,156,83.19,744,56.57,,980.10,4,25.68,
2018-08-30 18:59:33 +0200,157,83.36,743,56.64,,980.10,3,25.70,
2018-08-30 18:59:39 +0200,158,83.85,744,56.64,,980.10,4,25.70,
2018-08-30 18:59:46 +0200,159,84.27,745,56.72,,980.10,3,25.67,
2018-08-30 18:59:52 +0200,160,85.30,745,56.77,,980.10,4,25.67,
2018-08-30 18:59:59 +0200,161,84.95,745,56.84,,980.08,3,25.68,
2018-08-30 19:00:07 +0200,162,82.30,745,56.92,,980.08,3,25.71,
2018-08-30 19:00:13 +0200,163,84.70,746,56.97,,980.08,3,25.71,
2018-08-30 19:00:20 +0200,164,85.56,746,57.00,,980.10,3,25.71,
2018-08-30 19:00:26 +0200,165,86.08,747,57.01,,980.10,3,25.67,
2018-08-30 19:00:33 +0200,166,86.97,748,57.15,,980.08,3,25.70,
2018-08-30 19:00:39 +0200,167,87.42,747,57.39,,980.10,3,25.70,
2018-08-30 19:00:46 +0200,168,88.24,747,57.41,,980.08,3,25.71,
2018-08-30 19:00:53 +0200,169,86.79,747,57.31,,980.08,3,25.70,
2018-08-30 19:00:59 +0200,170,88.24,747,57.37,,980.12,3,25.71,
2018-08-30 19:01:06 +0200,171,88.61,747,57.42,,980.10,3,25.73,
2018-08-30 19:01:12 +0200,172,89.17,747,57.47,,980.12,3,25.74,
2018-08-30 19:01:19 +0200,173,89.55,748,57.54,,980.10,3,25.74,
2018-08-30 19:01:25 +0200,174,90.12,748,57.55,,980.10,3,25.73,
2018-08-30 19:01:32 +0200,175,90.32,749,57.60,,980.12,3,25.73,
2018-08-30 19:01:40 +0200,176,90.51,750,57.60,,980.12,4,25.74,
2018-08-30 19:01:46 +0200,177,87.51,750,57.65,,980.10,0,25.74,
2018-08-30 19:01:53 +0200,178,89.08,749,57.71,,980.10,3,25.76,
2018-08-30 19:01:59 +0200,179,90.71,750,57.78,,980.12,3,25.74,
2018-08-30 19:02:06 +0200,180,91.49,749,57.84,,980.10,3,25.76,
2018-08-30 19:02:12 +0200,181,91.99,748,57.90,,980.10,3,25.76,
2018-08-30 19:02:19 +0200,182,92.50,749,57.95,,980.10,4,25.77,
2018-08-30 19:02:25 +0200,183,92.80,750,58.00,,980.10,3,25.77,
2018-08-30 19:02:32 +0200,184,92.39,750,58.05,,980.10,3,25.77,
2018-08-30 19:02:39 +0200,185,93.31,750,58.07,,980.10,3,25.77,
2018-08-30 19:02:45 +0200,186,93.83,749,58.11,,980.10,3,25.78,
